id,cores,threads,name,launch_date,lithography,base_frequency,turbo_frequency,cache_l1,cache_l2,cache_l3,tdp,product_line,socket,memory_type,url,vertical_segment,max_temp,max_memory_speed,sku
237,2,,6th Gen AMD PRO A6-8570 APU,,28,3500,3800,,1024,,65,AMD PRO A-Series A6 APU for Desktops,AM4,DDR4,https://www.amd.com/en/product/6151,Desktop,,2400,6151
238,2,,6th Gen AMD PRO A6-8570E APU,,28,3000,3400,,1024,,35,AMD PRO A-Series A6 APU for Desktops,AM4,DDR4,https://www.amd.com/en/product/6156,Desktop,,2400,6156
239,2,2,6th Gen AMD PRO A6-8550B APU,,28,3700,4000,,1024,,65,AMD PRO A-Series A6 APU for Desktops,FM2+,DDR3,https://www.amd.com/en/product/6046,Desktop,71.3,2133,6046
240,2,2,6th Gen AMD PRO A4-8350B APU,,28,3500,3900,,1024,,65,AMD PRO A-Series A4 APU for Desktops,FM2+,DDR3,https://www.amd.com/en/product/6051,Desktop,71.3,1866,6051
241,4,,6th Gen AMD PRO A12-8830B APU,Q3 2016,28,2500,3400,,2048,,,AMD PRO A-Series A12 APU for Laptops,FP4,DDR4,https://www.amd.com/en/product/6246,Laptop,,1866,6246
242,4,4,6th Gen AMD PRO A12-8800B APU,,28,2100,3400,,2048,,15,AMD PRO A-Series A12 APU for Laptops,FP4,DDR3/DDR3L,https://www.amd.com/en/product/5691,Laptop,,2133,5691
243,4,,6th Gen AMD PRO A10-8730B APU,Q3 2016,28,2400,3300,,2048,,,AMD PRO A-Series A10 APU for Laptops,FP4,DDR4,https://www.amd.com/en/product/6251,Laptop,,1866,6251
244,4,4,6th Gen AMD PRO A10-8700B APU,,28,1800,3200,,2048,,15,AMD PRO A-Series A10 APU for Laptops,FP4,DDR3/DDR3L,https://www.amd.com/en/product/6066,Laptop,,2133,6066
245,4,4,6th Gen AMD PRO A8-8600B APU,,28,1600,3000,,2048,,15,AMD PRO A-Series A8 APU for Laptops,FP4,DDR3/DDR3L,https://www.amd.com/en/product/6061,Laptop,,2133,6061
246,2,,6th Gen AMD PRO A6-8530B APU,Q3 2016,28,2300,3200,,1024,,,AMD PRO A-Series A6 APU for Laptops,FP4,DDR4,https://www.amd.com/en/product/6256,Laptop,,1866,6256
247,2,4,6th Gen AMD PRO A6-8500B APU,,28,1600,3000,,1024,,15,AMD PRO A-Series A6 APU for Laptops,FP4,DDR3/DDR3L,https://www.amd.com/en/product/6056,Laptop,,1600,6056
248,4,4,6th Gen FX-8800P APU,,28,2100,3400,,2048,,15,AMD FX-Series Processors for Laptops,FP4,DDR3,https://www.amd.com/en/product/5916,Laptop,90,2133,5916
249,4,,A10-7890K with Radeon R7 Graphics and Wraith cooler,,28,4100,4300,256,4096,,95,AMD A10-Series APU for Desktops,FM2+,DDR3,https://www.amd.com/en/product/6101,Boxed Processor,72.4,2133,6101
250,4,4,A10-7870K with Radeon R7 Series,,28,3900,4100,256,4096,,95,AMD A10-Series APU for Desktops,FM2+,DDR3,https://www.amd.com/en/product/6026,Boxed Processor,72.4,2133,6026
251,4,,A10-7870K with Radeon R7 Graphics and Near Silent Thermal Solution,,28,3900,4100,256,4096,,95,AMD A10-Series APU for Desktops,FM2+,DDR3,https://www.amd.com/en/product/6106,Boxed Processor,72.4,2133,6106
252,4,4,A10-7860K with Radeon R7 Series,,28,3600,4000,256,4096,,65,AMD A10-Series APU for Desktops,FM2+,DDR3,https://www.amd.com/en/product/6086,Boxed Processor,71.3,2133,6086
253,4,4,A10-7860K with Radeon R7 Graphics and Near Silent Thermal Solution,,28,3600,4000,256,4096,,65,AMD A10-Series APU for Desktops,FM2+,DDR3,https://www.amd.com/en/product/6081,Boxed Processor,71.3,2133,6081
254,4,4,A10-7850K with Radeon R7 Series,,28,3700,4000,256,4096,,95,AMD A10-Series APU for Desktops,FM2+,DDR3,https://www.amd.com/en/product/5706,Boxed Processor,72.4,2133,5706
255,4,4,A10-7800 with Radeon R7 Series,,28,3500,3900,256,4096,,,AMD A10-Series APU for Desktops,FM2+,DDR3,https://www.amd.com/en/product/5701,Boxed Processor,71.3,2133,5701
256,4,4,A10-7700K with Radeon R7 Series,,28,3400,3800,256,4096,,,AMD A10-Series APU for Desktops,FM2+,DDR3,https://www.amd.com/en/product/5696,Boxed Processor,72.4,2133,5696
257,4,4,A10-6800K with Radeon HD 8670D,,32,4100,4400,192,4096,,100,AMD A10-Series APU for Desktops,FM2,DDR3,https://www.amd.com/en/product/5341,Boxed Processor,74,2133,5341
258,4,4,A10-6790K with Radeon HD 8670D,,32,4000,4300,192,4096,,100,AMD A10-Series APU for Desktops,FM2,DDR3,https://www.amd.com/en/product/5336,Boxed Processor,74,1866,5336
259,4,4,A10-6700 with Radeon HD 8670D,,32,3700,4300,192,4096,,65,AMD A10-Series APU for Desktops,FM2,DDR3,https://www.amd.com/en/product/5326,Boxed Processor,71.3,1866,5326
260,4,4,A10-6700T with Radeon HD 8650D,,32,2500,3500,192,4096,,45,AMD A10-Series APU for Desktops,FM2,DDR3,https://www.amd.com/en/product/5331,Boxed Processor,71.3,1866,5331
261,64,128,AMD EPYC 7763,3/15/2021,,2450,3500,,,262144,280,AMD EPYC 7003 Series,SP3,DDR4,https://www.amd.com/en/product/10906,Server,,3200,10906
262,64,128,AMD EPYC 7713P,3/15/2021,,2000,3675,,,262144,225,AMD EPYC 7003 Series,SP3,DDR4,https://www.amd.com/en/product/10911,Server,,3200,10911
263,64,128,AMD EPYC 7713,3/15/2021,,2000,3675,,,262144,225,AMD EPYC 7003 Series,SP3,DDR4,https://www.amd.com/en/product/10916,Server,,3200,10916
264,56,112,AMD EPYC 7663,3/15/2021,,2000,3500,,,262144,240,AMD EPYC 7003 Series,SP3,DDR4,https://www.amd.com/en/product/10921,Server,,3200,10921
265,48,96,AMD EPYC 7643,3/15/2021,,2300,3600,,,262144,225,AMD EPYC 7003 Series,SP3,DDR4,https://www.amd.com/en/product/10926,Server,,3200,10926
266,32,64,AMD EPYC 75F3,3/15/2021,,2950,4000,,,262144,280,AMD EPYC 7003 Series,SP3,DDR4,https://www.amd.com/en/product/10931,Server,,3200,10931
267,32,64,AMD EPYC 7543P,3/15/2021,,2800,3700,,,262144,225,AMD EPYC 7003 Series,SP3,DDR4,https://www.amd.com/en/product/10936,Server,,3200,10936
268,32,64,AMD EPYC 7543,3/15/2021,,2800,3700,,,262144,225,AMD EPYC 7003 Series,SP3,DDR4,https://www.amd.com/en/product/10941,Server,,3200,10941
269,32,64,AMD EPYC 7513,3/15/2021,,2600,3650,,,131072,200,AMD EPYC 7003 Series,SP3,DDR4,https://www.amd.com/en/product/10946,Server,,3200,10946
270,28,56,AMD EPYC 7453,3/15/2021,,2750,3450,,,65536,225,AMD EPYC 7003 Series,SP3,DDR4,https://www.amd.com/en/product/10951,Server,,3200,10951
271,24,48,AMD EPYC 74F3,3/15/2021,,3200,4000,,,262144,240,AMD EPYC 7003 Series,SP3,DDR4,https://www.amd.com/en/product/10956,Server,,3200,10956
272,24,48,AMD EPYC 7443P,3/15/2021,,2850,4000,,,131072,200,AMD EPYC 7003 Series,SP3,DDR4,https://www.amd.com/en/product/10961,Server,,3200,10961
273,24,48,AMD EPYC 7443,3/15/2021,,2850,4000,,,131072,200,AMD EPYC 7003 Series,SP3,DDR4,https://www.amd.com/en/product/10966,Server,,3200,10966
274,24,48,AMD EPYC 7413,3/15/2021,,2650,3600,,,131072,180,AMD EPYC 7003 Series,SP3,DDR4,https://www.amd.com/en/product/10971,Server,,3200,10971
275,16,32,AMD EPYC 73F3,3/15/2021,,3500,4000,,,262144,240,AMD EPYC 7003 Series,SP3,DDR4,https://www.amd.com/en/product/10976,Server,,3200,10976
276,16,32,AMD EPYC 7343,3/15/2021,,3200,3900,,,131072,190,AMD EPYC 7003 Series,SP3,DDR4,https://www.amd.com/en/product/10981,Server,,3200,10981
277,16,32,AMD EPYC 7313P,3/15/2021,,3000,3700,,,131072,155,AMD EPYC 7003 Series,SP3,DDR4,https://www.amd.com/en/product/10986,Server,,3200,10986
278,16,32,AMD EPYC 7313,3/15/2021,,3000,3700,,,131072,155,AMD EPYC 7003 Series,SP3,DDR4,https://www.amd.com/en/product/10991,Server,,3200,10991
279,4,4,A8-7670K with Radeon R7 Graphics and Near Silent Thermal Solution,,28,3600,3900,256,4096,,95,AMD A8-Series APU for Desktops,FM2+,DDR3,https://www.amd.com/en/product/6076,Boxed Processor,72.4,2133,6076
280,8,16,AMD EPYC 72F3,3/15/2021,,3700,4100,,,262144,180,AMD EPYC 7003 Series,SP3,DDR4,https://www.amd.com/en/product/10996,Server,,3200,10996
281,24,48,AMD EPYC 7F72,,,3200,3700,,,196608,240,AMD EPYC 7002 Series,SP3,DDR4,https://www.amd.com/en/product/9656,Server,,3200,9656
282,4,4,A8-7650K with Radeon R7 Series,,28,3300,3800,256,4096,,95,AMD A8-Series APU for Desktops,FM2+,DDR3,https://www.amd.com/en/product/5816,Boxed Processor,72.4,2133,5816
283,16,32,AMD EPYC 7F52,,,3500,3900,,,262144,240,AMD EPYC 7002 Series,SP3,DDR4,https://www.amd.com/en/product/9661,Server,,3200,9661
284,8,16,AMD EPYC 7F32,,,3700,3900,,,131072,180,AMD EPYC 7002 Series,SP3,DDR4,https://www.amd.com/en/product/9666,Server,,3200,9666
285,64,128,AMD EPYC 7H12,,,2600,3300,,,262144,280,AMD EPYC 7002 Series,SP3,DDR4,https://www.amd.com/en/product/9131,Server,,3200,9131
286,64,128,AMD EPYC 7742,,,2250,3400,,,262144,225,AMD EPYC 7002 Series,SP3,DDR4,https://www.amd.com/en/product/8761,Server,,3200,8761
287,4,4,A8-7650K with Radeon R7 Graphics and Near Silent Thermal Solution,,28,3300,3800,256,4096,,95,AMD A8-Series APU for Desktops,FM2+,DDR3,https://www.amd.com/en/product/6071,Boxed Processor,72.4,2133,6071
288,64,128,AMD EPYC 7702,,,2000,3350,,,262144,200,AMD EPYC 7002 Series,SP3,DDR4,https://www.amd.com/en/product/8766,Server,,3200,8766
289,4,4,A8-7600 with Radeon R7 Series,,28,3100,3800,256,4096,,65,AMD A8-Series APU for Desktops,FM2+,DDR3,https://www.amd.com/en/product/5811,Boxed Processor,71.3,2133,5811
290,64,128,AMD EPYC 7702P,,,2000,3350,,,262144,200,AMD EPYC 7002 Series,SP3,DDR4,https://www.amd.com/en/product/8771,Server,,3200,8771
291,4,4,A8-6600K with Radeon HD 8570D,,32,3900,4200,192,4096,,65,AMD A8-Series APU for Desktops,FM2,DDR3,https://www.amd.com/en/product/5481,Boxed Processor,74,1866,5481
292,64,128,AMD EPYC 7662,,,2000,3300,,,262144,225,AMD EPYC 7002 Series,SP3,DDR4,https://www.amd.com/en/product/8961,Server,,3200,8961
293,4,4,A8-6500 with Radeon HD 8570D,,32,3500,4100,192,4096,,65,AMD A8-Series APU for Desktops,FM2,DDR3,https://www.amd.com/en/product/5471,Boxed Processor,71.3,1866,5471
294,48,96,AMD EPYC 7642,,,2300,3300,,,262144,225,AMD EPYC 7002 Series,SP3,DDR4,https://www.amd.com/en/product/8786,Server,,3200,8786
295,48,96,AMD EPYC 7552,,,2200,3300,,,196608,200,AMD EPYC 7002 Series,SP3,DDR4,https://www.amd.com/en/product/8776,Server,,3200,8776
296,4,4,A8-6500T with Radeon HD 8550D,,32,2100,3100,192,4096,,45,AMD A8-Series APU for Desktops,FM2,DDR3,https://www.amd.com/en/product/5476,Boxed Processor,71.3,1866,5476
297,32,64,AMD EPYC 7542,,,2900,3400,,,131072,225,AMD EPYC 7002 Series,SP3,DDR4,https://www.amd.com/en/product/8781,Server,,3200,8781
298,32,64,AMD EPYC 7532,,,2400,3300,,,262144,200,AMD EPYC 7002 Series,SP3,DDR4,https://www.amd.com/en/product/8966,Server,,3200,8966
299,32,64,AMD EPYC 7502,,,2500,3350,,,131072,180,AMD EPYC 7002 Series,SP3,DDR4,https://www.amd.com/en/product/8791,Server,,3200,8791
300,32,64,AMD EPYC 7502P,,,2500,3350,,,131072,180,AMD EPYC 7002 Series,SP3,DDR4,https://www.amd.com/en/product/8796,Server,,3200,8796
301,32,64,AMD EPYC 7452,,,2350,3350,,,131072,155,AMD EPYC 7002 Series,SP3,DDR4,https://www.amd.com/en/product/8801,Server,,3200,8801
302,24,48,AMD EPYC 7402,,,2800,3350,,,131072,180,AMD EPYC 7002 Series,SP3,DDR4,https://www.amd.com/en/product/8816,Server,,3200,8816
303,24,48,AMD EPYC 7402P,,,2800,3350,,,131072,180,AMD EPYC 7002 Series,SP3,DDR4,https://www.amd.com/en/product/8811,Server,,3200,8811
304,24,48,AMD EPYC 7352,,,2300,3200,,,131072,155,AMD EPYC 7002 Series,SP3,DDR4,https://www.amd.com/en/product/8806,Server,,3200,8806
305,2,,A6-7470K with Radeon R5 Series,,28,3700,4000,256,1024,,65,AMD A6-Series APU for Desktops,FM2+,DDR3,https://www.amd.com/en/product/6091,Boxed Processor,71.3,2133,6091
306,2,2,A6-7400K with Radeon R5 Series,,28,3500,3900,128,1024,,65,AMD A6-Series APU for Desktops,FM2+,DDR3,https://www.amd.com/en/product/5781,Boxed Processor,70,1866,5781
307,16,32,AMD EPYC 7302,,,3000,3300,,,131072,155,AMD EPYC 7002 Series,SP3,DDR4,https://www.amd.com/en/product/8821,Server,,3200,8821
308,2,2,A6-6420K with Radeon HD 8470D,,32,4000,4200,96,1024,,65,AMD A6-Series APU for Desktops,FM2,DDR3,https://www.amd.com/en/product/5431,Boxed Processor,70,1866,5431
309,16,32,AMD EPYC 7302P,,,3000,3300,,,131072,155,AMD EPYC 7002 Series,SP3,DDR4,https://www.amd.com/en/product/8826,Server,,3200,8826
310,4,4,A6-6310 with Radeon R4 Graphics,,28,1800,2400,128,2048,,15,AMD A6-Series APU for Desktops,FT3b,DDR3,https://www.amd.com/en/product/5776,Desktop,90,1866,5776
311,16,32,AMD EPYC 7282,,,2800,3200,,,65536,120,AMD EPYC 7002 Series,SP3,DDR4,https://www.amd.com/en/product/8836,Server,,3200,8836
312,2,2,A6-6400K with Radeon HD 8470D,,32,3900,4100,96,1024,,65,AMD A6-Series APU for Desktops,FM2,DDR3,https://www.amd.com/en/product/5426,Boxed Processor,70,1866,5426
313,12,24,AMD EPYC 7272,,,2900,3200,,,65536,120,AMD EPYC 7002 Series,SP3,DDR4,https://www.amd.com/en/product/8831,Server,,3200,8831
314,8,16,AMD EPYC 7262,,,3200,3400,,,131072,155,AMD EPYC 7002 Series,SP3,DDR4,https://www.amd.com/en/product/8851,Server,,3200,8851
315,4,4,A6-5200 with Radeon HD 8400,,28,2000,,256,2048,,25,AMD A6-Series APU for Desktops,FT3,DDR3,https://www.amd.com/en/product/5771,Desktop,90,1600,5771
316,8,16,AMD EPYC 7252,,,3100,3200,,,65536,120,AMD EPYC 7002 Series,SP3,DDR4,https://www.amd.com/en/product/8846,Server,,3200,8846
317,8,16,AMD EPYC 7232P,,,3100,3200,,,32768,120,AMD EPYC 7002 Series,SP3,DDR4,https://www.amd.com/en/product/8841,Server,,3200,8841
318,32,64,AMD EPYC 7601,,,2200,3200,,,65536,180,AMD EPYC 7001 Series,SP3,DDR4,https://www.amd.com/en/product/1951,Server,,2666,1951
319,32,64,AMD EPYC 7551P,,,2000,3000,,,65536,180,AMD EPYC 7001 Series,SP3,DDR4,https://www.amd.com/en/product/1961,Server,,2666,1961
320,32,64,AMD EPYC 7551,,,2000,3000,,,65536,180,AMD EPYC 7001 Series,SP3,DDR4,https://www.amd.com/en/product/1956,Server,,2666,1956
321,32,64,AMD EPYC 7501,,,2000,3000,,,65536,155,AMD EPYC 7001 Series,SP3,DDR4,https://www.amd.com/en/product/1966,Server,,2400,1966
322,2,2,A4-7300 with Radeon HD 8470D,,32,3800,4000,96,1024,,65,AMD A4-Series APU for Desktops,FM2,DDR3,https://www.amd.com/en/product/5401,Desktop,70,1600,5401
323,24,48,AMD EPYC 7451,,,2300,3200,,,65536,180,AMD EPYC 7001 Series,SP3,DDR4,https://www.amd.com/en/product/1971,Server,,2666,1971
324,2,2,A4-6320 with Radeon HD 8370D,,32,3800,4000,96,1024,,65,AMD A4-Series APU for Desktops,FM2,DDR3,https://www.amd.com/en/product/5396,Boxed Processor,70,1600,5396
325,24,48,AMD EPYC 7401P,,,2000,3000,,,65536,155,AMD EPYC 7001 Series,SP3,DDR4,https://www.amd.com/en/product/1981,Server,,2400,1981
326,24,48,AMD EPYC 7401,,,2000,3000,,,65536,155,AMD EPYC 7001 Series,SP3,DDR4,https://www.amd.com/en/product/1976,Server,,2400,1976
327,2,2,A4-6300 with Radeon HD 8370D,,32,3700,3900,96,1024,,65,AMD A4-Series APU for Desktops,FM2,DDR3,https://www.amd.com/en/product/5391,Boxed Processor,70,1600,5391
328,16,32,AMD EPYC 7371,,,3100,3800,,,65536,200,AMD EPYC 7001 Series,SP3,DDR4,https://www.amd.com/en/product/8386,Server,,2666,8386
329,16,32,AMD EPYC 7351P,,,2400,2900,,,65536,155,AMD EPYC 7001 Series,SP3,DDR4,https://www.amd.com/en/product/1991,Server,,2400,1991
330,16,32,AMD EPYC 7351,,,2400,2900,,,65536,155,AMD EPYC 7001 Series,SP3,DDR4,https://www.amd.com/en/product/1986,Server,,2400,1986
331,16,32,AMD EPYC 7301,,,2200,2700,,,65536,155,AMD EPYC 7001 Series,SP3,DDR4,https://www.amd.com/en/product/1996,Server,,2400,1996
332,4,4,A4-5100 with Radeon HD 8330,,28,1550,,256,2048,,15,AMD A4-Series APU for Desktops,FT3,DDR3,https://www.amd.com/en/product/5731,Desktop,90,1600,5731
333,16,32,AMD EPYC 7281,,,2100,2700,,,32768,155,AMD EPYC 7001 Series,SP3,DDR4,https://www.amd.com/en/product/2001,Server,,2400,2001
334,4,4,A4-5000 with Radeon HD 8330,,28,1500,,256,2048,,15,AMD A4-Series APU for Desktops,FT3,DDR3,https://www.amd.com/en/product/5726,Desktop,90,1600,5726
335,8,16,AMD EPYC 7261,,,2500,2900,,,65536,155,AMD EPYC 7001 Series,SP3,DDR4,https://www.amd.com/en/product/7791,Server,,2400,7791
336,8,16,AMD EPYC 7251,,,2100,2900,,,32768,120,AMD EPYC 7001 Series,SP3,DDR4,https://www.amd.com/en/product/2006,Server,,2400,2006
337,8,8,FX-9590,,32,4700,5000,384,8192,8192,220,AMD FX 8-Core Black Edition Processors,AM3+,DDR3,https://www.amd.com/en/product/1481,Boxed Processor,57,1866,1481
338,8,8,FX-9370,,32,4400,4700,384,8192,8192,220,AMD FX 8-Core Black Edition Processors,AM3+,DDR3,https://www.amd.com/en/product/1476,Boxed Processor,57,1866,1476
339,8,8,FX-8370 with Wraith cooler,,32,4000,4300,384,8192,8192,125,AMD FX 8-Core Black Edition Processors,AM3+,DDR3,https://www.amd.com/en/product/1466,Boxed Processor,61.1,1866,1466
340,8,8,FX-8370E,,32,3300,4300,384,8192,8192,95,AMD FX 8-Core Black Edition Processors,AM3+,DDR3,https://www.amd.com/en/product/1471,Boxed Processor,70.5,1866,1471
341,4,4,A10-7400P with Radeon R6 Graphics,,28,2500,3400,,4096,,35,AMD A10-Series APU for Laptops,FP3,DDR3/DDR3L,https://www.amd.com/en/product/5716,Laptop,,1866,5716
342,8,8,FX-8370,,32,4000,4300,384,8192,8192,125,AMD FX 8-Core Black Edition Processors,AM3+,DDR3,https://www.amd.com/en/product/1461,Boxed Processor,61.1,1866,1461
343,4,4,A10-7300 with Radeon R6 Graphics,,28,1900,3200,,4096,,20,AMD A10-Series APU for Laptops,FP3,Not Listed,https://www.amd.com/en/product/5711,Laptop,,,5711
344,8,8,FX-8350 with Wraith cooler,,32,4000,4200,384,8192,8192,125,AMD FX 8-Core Black Edition Processors,AM3+,DDR3,https://www.amd.com/en/product/1456,Boxed Processor,61,1866,1456
345,8,8,FX-8350,,32,4000,4200,384,8192,8192,125,AMD FX 8-Core Black Edition Processors,AM3+,DDR3,https://www.amd.com/en/product/1451,Boxed Processor,61,1866,1451
346,4,4,A10 Micro-6700T with Radeon R6 Graphics,,28,2200,,,2048,,4.5,AMD A10-Series APU for Laptops,FT3b,DDR3L,https://www.amd.com/en/product/5721,"Laptop, Tablet",,1333,5721
347,8,8,FX-8320E,,32,3200,4000,384,8192,8192,95,AMD FX 8-Core Black Edition Processors,AM3+,DDR3,https://www.amd.com/en/product/1446,Boxed Processor,70.5,1866,1446
348,8,8,FX-8320,,32,3500,4000,384,8192,8192,125,AMD FX 8-Core Black Edition Processors,AM3+,DDR3,https://www.amd.com/en/product/1441,Boxed Processor,61.1,1866,1441
349,8,8,FX-8310,,32,3400,4300,,8192,,95,AMD FX 8-Core Black Edition Processors,AM3+,Not Listed,https://www.amd.com/en/product/1436,Boxed Processor,70.5,,1436
350,8,8,FX-8300,,32,3300,4200,384,8192,8192,95,AMD FX 8-Core Black Edition Processors,AM3+,DDR3,https://www.amd.com/en/product/1431,Boxed Processor,70.5,1866,1431
351,8,8,FX-8150,,32,3600,4200,384,8192,8192,125,AMD FX 8-Core Black Edition Processors,AM3+,DDR3,https://www.amd.com/en/product/1426,Boxed Processor,61,,1426
352,8,8,FX-8120,,32,3100,4000,384,8192,8192,125,AMD FX 8-Core Black Edition Processors,AM3+,Not Listed,https://www.amd.com/en/product/1421,Boxed Processor,61,,1421
353,4,4,A8-7410 with Radeon R5 Graphics,,28,2200,2500,,2048,,15,AMD A8-Series APU for Laptops,FP4,DDR3L,https://www.amd.com/en/product/5956,Laptop,90,1866,5956
354,6,6,FX-6350 with Wraith cooler,,32,3900,4200,288,6144,8192,125,AMD FX 6-Core Black Edition Processors,AM3+,DDR3,https://www.amd.com/en/product/1416,Boxed Processor,61,1866,1416
355,4,4,A8-7200P with Radeon R5 Graphics,,28,2400,3300,,4096,,100,AMD A8-Series APU for Laptops,FP3,DDR3,https://www.amd.com/en/product/5826,Laptop,,1866,5826
356,6,6,FX-6350,,32,3900,4200,288,6144,8192,125,AMD FX 6-Core Black Edition Processors,AM3+,DDR3,https://www.amd.com/en/product/1411,Boxed Processor,61,1866,1411
357,4,4,A8-7100 with Radeon R5 Graphics,,28,1800,3000,,4096,,20,AMD A8-Series APU for Laptops,FP3,DDR3,https://www.amd.com/en/product/5821,Laptop,,1600,5821
358,4,4,A8-6410 with Radeon R5 Graphics,,28,2000,2400,,2048,,15,AMD A8-Series APU for Laptops,FT3b,DDR3L,https://www.amd.com/en/product/5936,Laptop,90,1866,5936
359,6,6,FX-6300,,32,3500,3800,288,6144,8192,95,AMD FX 6-Core Black Edition Processors,AM3+,DDR3,https://www.amd.com/en/product/1926,Boxed Processor,70.5,1866,1926
360,6,6,FX-6200,,32,3800,4100,288,6144,8192,125,AMD FX 6-Core Black Edition Processors,AM3+,DDR3,https://www.amd.com/en/product/1406,Boxed Processor,61.1,1866,1406
361,6,6,FX 6100,,32,3300,3900,288,6144,8192,95,AMD FX 6-Core Black Edition Processors,AM3+,DDR3,https://www.amd.com/en/product/1401,Boxed Processor,70,1866,1401
362,4,4,FX-4350,,32,4200,4300,192,4096,8192,125,AMD FX 4-Core Black Edition Processors,AM3+,DDR3,https://www.amd.com/en/product/1396,Boxed Processor,61.1,1866,1396
363,4,4,FX-4320,,32,4000,4100,192,4096,4096,95,AMD FX 4-Core Black Edition Processors,AM3+,DDR3,https://www.amd.com/en/product/1931,Boxed Processor,70.5,1866,1931
364,4,4,FX-4300,,32,3800,4000,192,4096,4096,95,AMD FX 4-Core Black Edition Processors,AM3+,DDR3,https://www.amd.com/en/product/1391,Boxed Processor,70.5,1866,1391
365,4,4,FX-4170,,32,4200,4300,192,4096,8192,125,AMD FX 4-Core Black Edition Processors,AM3+,Not Listed,https://www.amd.com/en/product/1386,Boxed Processor,61.1,,1386
366,4,4,FX-4130,,32,3800,3900,192,4096,4096,125,AMD FX 4-Core Black Edition Processors,AM3,DDR3,https://www.amd.com/en/product/1381,Boxed Processor,70,1866,1381
367,4,4,FX-4100,,32,3600,3800,192,4096,8192,95,AMD FX 4-Core Black Edition Processors,AM3+,DDR3,https://www.amd.com/en/product/1376,Boxed Processor,70.5,1866,1376
368,6,6,1075T,,,3500,,768,3072,6144,95,AMD Phenom II X6,AM3,DDR3,https://www.amd.com/en/product/1691,Boxed Processor,,,1691
369,,,1045T,,,2700,3200,768,3072,6144,95,AMD Phenom II X6,AM3,Not Listed,https://www.amd.com/en/product/1686,Boxed Processor,71,,1686
370,4,4,980,,,3700,,512,2048,6144,125,AMD Phenom II X4 Black,AM3,DDR3,https://www.amd.com/en/product/1911,Boxed Processor,,,1911
371,2,2,A6-8500P with Radeon R5 Graphics,,28,1600,3000,,1024,,15,AMD A6-Series APU for Laptops,FP4,Not Listed,https://www.amd.com/en/product/5931,Laptop,90,,5931
372,4,4,A6-7310 with Radeon R4 Graphics,,28,2000,2400,,2048,,15,AMD A6-Series APU for Laptops,FT3b,DDR3L,https://www.amd.com/en/product/5941,Laptop,90,1866,5941
373,4,4,975,,45,3600,,512,2048,6144,125,AMD Phenom II X4 Black,AM3,DDR3,https://www.amd.com/en/product/1906,Boxed Processor,62,,1906
374,4,4,A6-7310 with Radeon R4 Graphics,,28,2000,2400,,2048,,15,AMD A6-Series APU for Laptops,FP4,DDR3L,https://www.amd.com/en/product/5961,Laptop,90,1866,5961
375,4,4,965,,,3400,,,2048,,80,AMD Phenom II X4 Black,AM3,Not Listed,https://www.amd.com/en/product/1671,Boxed Processor,,,1671
376,2,2,A6-7000 with Radeon R4 Graphics,,28,2200,3000,,1024,,17,AMD A6-Series APU for Laptops,FT3,Not Listed,https://www.amd.com/en/product/5796,Laptop,,,5796
377,4,4,960T,,,3000,3400,512,512,,95,AMD Phenom II X4 Black,AM3,Not Listed,https://www.amd.com/en/product/1666,Boxed Processor,71,,1666
378,4,4,A6-6310 with Radeon R4 Graphics,,28,2400,,,2048,,15,AMD A6-Series APU for Laptops,FT3b,DDR3L,https://www.amd.com/en/product/5791,Laptop,,1865,5791
379,4,4,850,,,3300,,512,2048,,95,AMD Phenom II X4,AM3,Not Listed,https://www.amd.com/en/product/1681,Boxed Processor,,,1681
380,4,4,840,,,3200,,512,2048,,95,AMD Phenom II X4,AM3,DDR3,https://www.amd.com/en/product/1676,Boxed Processor,71,,1676
381,2,2,A6-5350M with Radeon HD 8450G,,32,2900,3500,,2048,,35,AMD A6-Series APU for Laptops,FS1r2,DDR3,https://www.amd.com/en/product/5451,Laptop,,1600,5451
382,2,2,570,,,4000,,,,6144,80,AMD Phenom II X2 Black,AM3,DDR3,https://www.amd.com/en/product/1661,Boxed Processor,,,1661
383,2,2,565,,45,3400,,0,1024,,80,AMD Phenom II X2 Black,AM3,Not Listed,https://www.amd.com/en/product/1936,Boxed Processor,,,1936
384,4,4,A6-5200M with Radeon HD 8400,,28,2000,,,2048,,25,AMD A6-Series APU for Laptops,FT3,Not Listed,https://www.amd.com/en/product/5786,Laptop,,,5786
385,2,2,555,,,3200,,,1024,,80,AMD Phenom II X2 Black,AM3,Not Listed,https://www.amd.com/en/product/1651,Boxed Processor,,,1651
386,2,2,565,,,3400,,256,1024,6144,80,AMD Phenom II X2,AM3,DDR3,https://www.amd.com/en/product/1901,Boxed Processor,70,,1901
387,4,4,X940,,,2400,,512,2048,,45,AMD Phenom II Black Edition Quad-Core Mobile Processors,S1,DDR3,https://www.amd.com/en/product/1611,Laptop,100,,1611
388,4,4,N970,,,2200,,512,2048,,35,AMD Phenom II Quad-Core Mobile Processors,S1,DDR3,https://www.amd.com/en/product/1636,Laptop,100,,1636
389,4,4,N960,,,1800,,512,2048,,35,AMD Phenom II Quad-Core Mobile Processors,S1,DDR3,https://www.amd.com/en/product/1631,Laptop,100,,1631
390,3,3,N870,,,2300,,384,1536,,35,AMD Phenom II Triple-Core Mobile Processors,AM2+,DDR3,https://www.amd.com/en/product/1641,Laptop,100,,1641
