id,cores,threads,name,launch_date,lithography,base_frequency,turbo_frequency,cache_l1,cache_l2,cache_l3,tdp,product_line,socket,memory_type,url,vertical_segment,max_temp,max_memory_speed,sku
141,6,12,AMD Ryzen 5 PRO 4650GE,7/21/2020,7,3300,4200,384,3072,8192,35,AMD Ryzen 5 PRO 4000 Series Desktop Processors,AM4,DDR4,https://www.amd.com/en/product/10261,Desktop,95,3200,10261
142,4,8,AMD Ryzen 3 PRO 4350G,7/21/2020,7,3800,4000,256,2048,4096,65,AMD Ryzen 3 PRO 4000 Series Desktop Processors,AM4,DDR4,https://www.amd.com/en/product/10251,Desktop,95,3200,10251
143,4,8,AMD Ryzen 3 PRO 4350GE,7/21/2020,7,3500,4000,256,2048,4096,35,AMD Ryzen 3 PRO 4000 Series Desktop Processors,AM4,DDR4,https://www.amd.com/en/product/10266,Desktop,95,3200,10266
144,6,12,AMD Ryzen 5 1600,4/11/2017,14,3200,3600,576,3072,16384,65,AMD Ryzen 5 Desktop Processors,AM4,DDR4,https://www.amd.com/en/product/1241,Boxed Processor,95,2667,1241
145,6,12,AMD Ryzen 5 1600 (AF),,12,3200,3600,576,3072,16384,65,AMD Ryzen 5 Desktop Processors,AM4,DDR4,https://www.amd.com/en/product/9121,Boxed Processor,95,2667,9121
146,4,8,AMD Ryzen 5 PRO 3400G,9/30/19,12,3700,4200,384,2048,4096,65,AMD Ryzen 5 PRO Desktop Processors with Radeon Vega Graphics,AM4,DDR4,https://www.amd.com/en/product/8876,Desktop,95,2933,8876
147,4,8,AMD Ryzen 5 PRO 3400GE,9/30/19,12,3300,4000,384,2048,4096,35,AMD Ryzen 5 PRO Desktop Processors with Radeon Vega Graphics,AM4,DDR4,https://www.amd.com/en/product/8886,Desktop,95,2933,8886
148,4,8,AMD Ryzen 5 1500X,4/11/2017,14,3500,3700,384,2048,16384,65,AMD Ryzen 5 Desktop Processors,AM4,DDR4,https://www.amd.com/en/product/1236,Boxed Processor,95,2667,1236
149,4,8,AMD Ryzen 5 PRO 3350G,7/21/2020,12,3600,4000,384,2048,4096,65,AMD Ryzen 5 PRO 3000 Series Desktop Processors,AM4,DDR4,https://www.amd.com/en/product/10271,Desktop,95,2933,10271
150,4,4,AMD Ryzen 5 PRO 3350GE,7/21/2020,12,3300,3900,384,2048,4096,35,AMD Ryzen 5 PRO 3000 Series Desktop Processors,,DDR4,https://www.amd.com/en/product/10276,Desktop,95,2933,10276
151,4,8,AMD Ryzen 5 1400,4/11/2017,14,3200,3400,384,2048,8192,65,AMD Ryzen 5 Desktop Processors,AM4,DDR4,https://www.amd.com/en/product/1231,Boxed Processor,95,2667,1231
152,4,4,AMD Ryzen 3 PRO 3200G,9/30/19,12,3600,4000,384,2048,4096,65,AMD Ryzen 3 PRO Desktop Processors with Radeon Vega Graphics,AM4,DDR4,https://www.amd.com/en/product/8881,Desktop,95,2933,8881
153,4,4,AMD Ryzen 3 PRO 3200GE,9/30/19,12,3300,3800,384,2048,4096,35,AMD Ryzen 3 PRO Desktop Processors with Radeon Vega Graphics,AM4,DDR4,https://www.amd.com/en/product/8891,Desktop,95,2933,8891
154,4,4,AMD Ryzen 3 1300X,07/27/2017,14,3500,3700,384,2048,8192,65,AMD Ryzen 3 Desktop Processors,AM4,DDR4,https://www.amd.com/en/product/2041,Boxed Processor,95,2667,2041
155,4,4,AMD Athlon Gold PRO 3150G,7/21/2020,12,3500,3900,384,2048,4096,65,AMD Athlon PRO 3000 Series Desktop Processors,AM4,DDR4,https://www.amd.com/en/product/10281,Desktop,95,2933,10281
156,4,4,AMD Athlon Gold PRO 3150GE,7/21/2020,12,3300,3800,384,2048,4096,35,AMD Athlon PRO 3000 Series Desktop Processors,AM4,DDR4,https://www.amd.com/en/product/10286,Desktop,95,2933,10286
157,2,4,AMD Athlon Silver PRO 3125GE,7/21/2020,12,3400,3400,192,1024,4096,35,AMD Athlon PRO 3000 Series Desktop Processors,AM4,DDR4,https://www.amd.com/en/product/10291,Desktop,95,2667,10291
158,2,4,AMD Athlon PRO 300GE,9/30/19,12,3400,,192,1024,4096,35,AMD Athlon PRO Desktop Processors with Radeon Vega Graphics,AM4,DDR4,https://www.amd.com/en/product/8896,Desktop,95,2667,8896
159,4,4,AMD Ryzen 3 1200,07/27/2017,14,3100,3400,384,2048,8192,65,AMD Ryzen 3 Desktop Processors,AM4,DDR4,https://www.amd.com/en/product/2046,Boxed Processor,95,2667,2046
160,8,16,AMD Ryzen 7 PRO 2700X,,12,3600,4100,768,4096,16384,95,AMD Ryzen 7 PRO Desktop Processors,AM4,DDR4,https://www.amd.com/en/product/8236,Desktop,95,2933,8236
161,8,16,AMD Ryzen 7 PRO 4750U,5/7/2020,7,1700,4100,,4096,8192,15,AMD Ryzen 7 PRO 4000 Series Mobile Processors,FP6,"DDR4 - Up to 3200MHz, LPDDR4 - Up to 4266MHz",https://www.amd.com/en/product/9686,Laptop,105,,9686
162,8,16,AMD Ryzen 7 PRO 2700,,12,3200,4100,768,4096,16384,65,AMD Ryzen 7 PRO Desktop Processors,AM4,DDR4,https://www.amd.com/en/product/8241,Desktop,95,2933,8241
163,6,12,AMD Ryzen 5 PRO 4650U,5/7/2020,7,2100,4000,,3072,8192,15,AMD Ryzen 5 PRO 4000 Series Mobile Processors,FP6,"DDR4 - Up to 3200MHz, LPDDR4 - Up to 4266MHz",https://www.amd.com/en/product/9691,Laptop,105,,9691
164,4,8,AMD Ryzen 3 PRO 4450U,5/7/2020,7,2500,3700,,2048,4096,15,AMD Ryzen 3 PRO 4000 Series Mobile Processors,FP6,"DDR4 - Up to 3200MHz, LPDDR4 - Up to 4266MHz",https://www.amd.com/en/product/9696,Laptop,105,,9696
165,8,16,AMD Ryzen 7 PRO 1700X Processor,06/29/2017,14,3400,3800,,4096,16384,95,AMD Ryzen 7 PRO Desktop Processors,AM4,DDR4,https://www.amd.com/en/product/2011,Desktop,95,2667,2011
166,4,8,AMD Ryzen 7 PRO 3700U,4/8/2019,12,2300,4000,384,2048,4096,15,AMD Ryzen 7 PRO Mobile Processors with Radeon Vega Graphics,FP5,,https://www.amd.com/en/product/8416,Laptop,95,2400,8416
